SourceClass,RelationshipType,TargetClass
BusinessObject,PLACEDAT,http://schema.org/Place
BusinessObject,BELONGSTOLAYER,Layer
Warehouse,LOCATEDIN,WarehouseLocation
Warehouse,HASSTOCKITEM,Stock
Warehouse,FEEDS,Production
Stock,STOCKSPRODUCT,Product
Stock,QUANTITY,decimal
Stock,UNITPRICE,decimal
Organization,ORDERS,Order
SupplierOrder,ORDEREDFROM,Supplier
CustomerOrder,ORDEREDBY,Customer
CustomerOrder,REVENUE,decimal
ExternalLogistics,DELIVERSTO,Organization
LogisticsOperation,TRANSPORTS,Product
LogisticsOperation,USESTRANSPORTMODE,TransportMode
LogisticsOperation,DELIVERYTIME,dateTime
Production,PRODUCES,Product
Production,HASQA,QualityAssurance
Production,HASENERGYSTORAGE,EnergyStorage
Production,HASLOSS,ProductionLoss
Product,FULFILLS,CustomerOrder
Product,ISMANUFACTUREDFROM,Part
Product,HASBOMITEM,Part
EnergyObservation,OBSERVEDBY,Production
EnergyObservation,ENERGYUSE,decimal
EnergyObservation,HASENERGYTARIFF,EnergyTariff
CustomerService,HANDLESRETURN,Return
Return,RELATESTOORDER,CustomerOrder
Observation,OBSERVESPRODUCTION,Production
