start,relationship,end
https://dmast.eu/vc6#hasEnergyStorage,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#renewableShare,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#labourHours,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#observedBy,range,https://dmast.eu/vc6#Production
https://dmast.eu/vc6#deliveryTime,range,http://www.w3.org/2001/XMLSchema#dateTime
https://dmast.eu/vc6#hasBOMItem,domain,https://dmast.eu/vc6#Product
https://dmast.eu/vc6#transports,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#hasLoss,range,https://dmast.eu/vc6#ProductionLoss
https://dmast.eu/vc6#reworkCount,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#locatedIn,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#hasEnergyTariff,domain,https://dmast.eu/vc6#EnergyObservation
https://dmast.eu/vc6#EquipmentObservation,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#placedAt,range,http://schema.org/Place
https://dmast.eu/vc6#revenue,domain,https://dmast.eu/vc6#CustomerOrder
https://dmast.eu/vc6#LogisticsOperation,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#supportCost,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#hasEnergyStorage,domain,https://dmast.eu/vc6#Production
https://dmast.eu/vc6#transports,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#uptimeHours,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#ExternalLogisticsLayer,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#isManufacturedFrom,domain,https://dmast.eu/vc6#Product
https://dmast.eu/vc6#handlesReturn,domain,https://dmast.eu/vc6#CustomerService
