start_id,end_id,type,label
c2,c20,SUBCLASS_OF,rdfs:subClassOf
c32,c20,SUBCLASS_OF,rdfs:subClassOf
c3,c19,SUBCLASS_OF,rdfs:subClassOf
c34,c19,SUBCLASS_OF,rdfs:subClassOf
c4,c1,SUBCLASS_OF,rdfs:subClassOf
c20,c1,SUBCLASS_OF,rdfs:subClassOf
c28,c1,SUBCLASS_OF,rdfs:subClassOf
c30,c1,SUBCLASS_OF,rdfs:subClassOf
c5,c16,SUBCLASS_OF,rdfs:subClassOf
c12,c16,SUBCLASS_OF,rdfs:subClassOf
c14,c16,SUBCLASS_OF,rdfs:subClassOf
c27,c16,SUBCLASS_OF,rdfs:subClassOf
c35,c16,SUBCLASS_OF,rdfs:subClassOf
c38,c16,SUBCLASS_OF,rdfs:subClassOf
c10,c18,SUBCLASS_OF,rdfs:subClassOf
c15,c18,SUBCLASS_OF,rdfs:subClassOf
c11,c17,SUBCLASS_OF,rdfs:subClassOf
c13,c17,SUBCLASS_OF,rdfs:subClassOf
c24,c23,SUBCLASS_OF,rdfs:subClassOf
c39,c22,SUBCLASS_OF,rdfs:subClassOf
c47,c46,SUBPROPERTY_OF,rdfs:subPropertyOf
c72,c67,SUBPROPERTY_OF,rdfs:subPropertyOf
c75,c67,SUBPROPERTY_OF,rdfs:subPropertyOf
c76,c67,SUBPROPERTY_OF,rdfs:subPropertyOf
c93,c67,SUBPROPERTY_OF,rdfs:subPropertyOf
c73,c69,SUBPROPERTY_OF,rdfs:subPropertyOf
c77,c69,SUBPROPERTY_OF,rdfs:subPropertyOf
c78,c69,SUBPROPERTY_OF,rdfs:subPropertyOf
c37,c68,DOMAIN_OF,rdfs:domain
c68,c31,RANGE_OF,rdfs:range
c25,c62,DOMAIN_OF,rdfs:domain
c62,c21,RANGE_OF,rdfs:range
c13,c77,DOMAIN_OF,rdfs:domain
c77,c26,RANGE_OF,rdfs:range
c26,c65,DOMAIN_OF,rdfs:domain
c65,c28,RANGE_OF,rdfs:range
c1,c40,DOMAIN_OF,rdfs:domain
c40,c16,RANGE_OF,rdfs:range
c13,c75,DOMAIN_OF,rdfs:domain
c75,c26,RANGE_OF,rdfs:range
c11,c73,DOMAIN_OF,rdfs:domain
c73,c37,RANGE_OF,rdfs:range
c13,c76,DOMAIN_OF,rdfs:domain
c76,c37,RANGE_OF,rdfs:range
c34,c91,DOMAIN_OF,rdfs:domain
c91,c32,RANGE_OF,rdfs:range
c37,c58,DOMAIN_OF,rdfs:domain
c58,c26,RANGE_OF,rdfs:range
c11,c46,DOMAIN_OF,rdfs:domain
c46,c20,RANGE_OF,rdfs:range
c11,c72,DOMAIN_OF,rdfs:domain
c72,c32,RANGE_OF,rdfs:range
c30,c97,DOMAIN_OF,rdfs:domain
c97,c3,RANGE_OF,rdfs:range
c17,c115,DOMAIN_OF,rdfs:domain
c115,c36,RANGE_OF,rdfs:range
c11,c93,DOMAIN_OF,rdfs:domain
c93,c26,RANGE_OF,rdfs:range
c25,c79,DOMAIN_OF,rdfs:domain
c79,c21,RANGE_OF,rdfs:range
c33,c45,DOMAIN_OF,rdfs:domain
c45,c37,RANGE_OF,rdfs:range
c31,c113,DOMAIN_OF,rdfs:domain
c13,c86,DOMAIN_OF,rdfs:domain
c86,c31,RANGE_OF,rdfs:range
c7,c55,DOMAIN_OF,rdfs:domain
c20,c92,DOMAIN_OF,rdfs:domain
c92,c19,RANGE_OF,rdfs:range
c17,c69,DOMAIN_OF,rdfs:domain
c69,c1,RANGE_OF,rdfs:range
c17,c67,DOMAIN_OF,rdfs:domain
c67,c1,RANGE_OF,rdfs:range
c33,c44,DOMAIN_OF,rdfs:domain
c44,c11,RANGE_OF,rdfs:range
c31,c96,DOMAIN_OF,rdfs:domain
c26,c95,DOMAIN_OF,rdfs:domain
c95,c25,RANGE_OF,rdfs:range
c25,c60,DOMAIN_OF,rdfs:domain
c60,c3,RANGE_OF,rdfs:range
c13,c111,DOMAIN_OF,rdfs:domain
c111,c39,RANGE_OF,rdfs:range
c4,c61,DOMAIN_OF,rdfs:domain
c61,c30,RANGE_OF,rdfs:range
c13,c78,DOMAIN_OF,rdfs:domain
c78,c37,RANGE_OF,rdfs:range
c11,c47,DOMAIN_OF,rdfs:domain
c47,c2,RANGE_OF,rdfs:range
c3,c90,DOMAIN_OF,rdfs:domain
c90,c2,RANGE_OF,rdfs:range
c26,c63,DOMAIN_OF,rdfs:domain
c63,c8,RANGE_OF,rdfs:range
c33,c48,DOMAIN_OF,rdfs:domain
c48,c34,RANGE_OF,rdfs:range
c17,c112,DOMAIN_OF,rdfs:domain
c112,c25,RANGE_OF,rdfs:range
c7,c88,DOMAIN_OF,rdfs:domain
c88,c26,RANGE_OF,rdfs:range
c18,c89,DOMAIN_OF,rdfs:domain
c89,c26,RANGE_OF,rdfs:range
c37,c81,DOMAIN_OF,rdfs:domain
c81,c39,RANGE_OF,rdfs:range
c7,c64,DOMAIN_OF,rdfs:domain
c64,c9,RANGE_OF,rdfs:range
c26,c66,DOMAIN_OF,rdfs:domain
c66,c29,RANGE_OF,rdfs:range
c17,c49,DOMAIN_OF,rdfs:domain
c3,c101,DOMAIN_OF,rdfs:domain
c1,c94,DOMAIN_OF,rdfs:domain
c94,c22,RANGE_OF,rdfs:range
c13,c59,DOMAIN_OF,rdfs:domain
c59,c39,RANGE_OF,rdfs:range
c31,c107,DOMAIN_OF,rdfs:domain
c107,c25,RANGE_OF,rdfs:range
